year,month,day,RMM1,RMM2,phase,amplitude
1974,6,1,1.6344700,1.2030400,5,2.0294800
1974,6,2,1.6028900,1.0151200,5,1.8972900
1974,6,3,1.5162500,1.0855100,5,1.8647600
1974,6,4,1.5098100,1.0357300,5,1.8309200
1974,6,5,1.5590600,1.3051800,5,2.0332601
1974,6,6,1.2062600,1.6288900,6,2.0269001
1974,6,7,0.61110097,1.7224801,6,1.8276700
1974,6,8,0.32639500,1.7781800,6,1.8078901
1974,6,9,9.38282013E-02,1.3569400,6,1.3601800
1974,6,10,-8.61262977E-02,0.77547598,7,0.78024399
1974,6,11,0.11139400,0.38953400,6,0.40514800
1974,6,12,0.12048900,1.38852000E-02,5,0.12128600
1974,6,13,1.92805994E-02,-0.21766999,3,0.21851900
1974,6,14,-0.10436000,-0.38104999,2,0.39508200
1974,6,15,-0.18294001,-0.64534998,2,0.67077500
1974,6,16,-0.23596001,-0.47106999,2,0.52686501
1974,6,17,-0.49869001,-0.48752001,1,0.69740200
1974,6,18,-0.56980002,-0.36398000,1,0.67613399
1974,6,19,-0.69502997,-0.35556999,1,0.78070498
1974,6,20,-0.72915000,-0.47646001,1,0.87101501
1974,6,21,-1.0944300,-0.83275002,1,1.3752300
1974,6,22,-1.0985100,-0.83867002,1,1.3820601
1974,6,23,-1.0624400,-0.50405002,1,1.1759400
1974,6,24,-0.88507003,-0.32444000,1,0.94265801
1974,6,25,-0.76582003,-0.33355001,1,0.83530402
1974,6,26,-0.83446997,-0.41418001,1,0.93160701
1974,6,27,-0.80129999,-0.35989001,1,0.87841302
1974,6,28,-0.56441998,-0.29798999,1,0.63824999
1974,6,29,-9.70496982E-02,-0.40189001,2,0.41344199
1974,6,30,9.14870016E-03,-0.24384999,3,0.24401700
1974,7,1,0.26054999,8.71013030E-02,5,0.27472401
1974,7,2,0.26702401,0.23012000,5,0.35250100
1974,7,3,0.35558200,0.38715500,6,0.52566898
1974,7,4,0.84438300,0.42613801,5,0.94582099
1974,7,5,1.1206599,0.40039399,5,1.1900400
1974,7,6,1.0763500,0.59540701,5,1.2300600
1974,7,7,0.81290197,0.87044400,6,1.1910000
1974,7,8,0.43173200,1.0882500,6,1.1707600
1974,7,9,8.10154006E-02,1.1705300,6,1.1733299
1974,7,10,-0.12074000,1.1296600,7,1.1360900
1974,7,11,-0.27891999,0.99857098,7,1.0367900
1974,7,12,-0.13957000,0.70270902,7,0.71643502
1974,7,13,-0.20472001,0.40228000,7,0.45137301
1974,7,14,-0.19937000,0.11084100,8,0.22811399
1974,7,15,-9.52897966E-02,-0.13186000,2,0.16269100
1974,7,16,-0.10831000,-0.31318000,2,0.33138201
1974,7,17,-5.67336986E-03,-0.50314999,2,0.50318003
1974,7,18,0.17968801,-0.44850999,3,0.48316699
1974,7,19,0.28532100,-0.48164999,3,0.55981499
1974,7,20,0.33098501,-0.90205002,3,0.96085697
1974,7,21,0.36483300,-1.2916600,3,1.3421900
1974,7,22,0.34641901,-1.2099700,3,1.2585800
1974,7,23,0.39280599,-1.0474600,3,1.1186900
1974,7,24,0.44716999,-0.87783003,3,0.98516703
1974,7,25,0.45279199,-0.83618999,3,0.95091301
1974,7,26,0.55686700,-0.80813003,3,0.98141599
1974,7,27,0.73983401,-0.60003000,4,0.95257097
1974,7,28,0.66544199,-0.42067999,4,0.78726202
1974,7,29,0.78544903,-0.13224000,4,0.79650301
1974,7,30,1.1362400,5.74810989E-02,5,1.1377000
1974,7,31,1.2519799,0.66262197,5,1.4165200
1974,8,1,1.3088700,0.96449101,5,1.6258500
1974,8,2,1.3311800,1.2776800,5,1.8451300
1974,8,3,1.3397100,1.3965800,6,1.9352700
1974,8,4,1.2484200,1.5988300,6,2.0284901
1974,8,5,0.83587003,1.6715000,6,1.8688400
1974,8,6,0.53584999,1.7398900,6,1.8205301
1974,8,7,0.12356800,1.7742600,6,1.7785600
1974,8,8,-0.14636999,1.7305200,7,1.7367001
1974,8,9,-0.20364000,1.4369800,7,1.4513400
1974,8,10,0.21716800,1.2891500,6,1.3073100
1974,8,11,0.69975901,0.96175498,6,1.1893899
1974,8,12,1.0636899,0.65503901,5,1.2492000
1974,8,13,1.2051800,0.48745301,5,1.3000200
1974,8,14,1.2789100,0.49253401,5,1.3704799
1974,8,15,1.4428200,0.49833199,5,1.5264500
1974,8,16,1.4822100,0.18579200,5,1.4938101
1974,8,17,1.1306700,6.18746988E-02,5,1.1323700
1974,8,18,0.78694302,-0.20013000,4,0.81199199
1974,8,19,0.43282500,-0.32099000,4,0.53886199
1974,8,20,0.29646799,-0.20141000,4,0.35841301
1974,8,21,0.35807300,-0.17985000,4,0.40070099
1974,8,22,-7.69795030E-02,-3.03150993E-02,1,8.27336013E-02
1974,8,23,-0.44893000,2.53940001E-02,8,0.44964299
1974,8,24,-0.60205001,-3.05738002E-02,1,0.60282803
1974,8,25,-0.65280002,9.07431021E-02,8,0.65907300
1974,8,26,-0.41896999,0.14820500,8,0.44441399
1974,8,27,-0.32314000,-9.14905965E-02,1,0.33583999
1974,8,28,-0.29387000,-0.24602000,1,0.38325301
1974,8,29,-0.43109000,-0.19288000,1,0.47227401
1974,8,30,-0.43665001,-0.18707000,1,0.47503099
1974,8,31,-0.55282998,-0.28942999,1,0.62401599
1974,9,1,-0.74307001,-0.32225999,1,0.80994099
1974,9,2,-0.75700998,-0.34913000,1,0.83363903
1974,9,3,-0.85425001,-0.47042999,1,0.97522098
1974,9,4,-0.94621998,-0.57047999,1,1.1048900
1974,9,5,-0.95005000,-0.76164001,1,1.2176600
1974,9,6,-0.96430999,-1.1954100,2,1.5358700
1974,9,7,-0.82861000,-1.4916700,2,1.7063600
1974,9,8,-0.80839998,-1.2905600,2,1.5228400
1974,9,9,-0.65211999,-1.0919501,2,1.2718500
1974,9,10,-0.41312999,-1.1061701,2,1.1807899
1974,9,11,-0.56989002,-1.0169200,2,1.1657200
1974,9,12,-0.72498000,-0.76901001,2,1.0568700
1974,9,13,-0.84693003,-0.41613999,1,0.94363898
1974,9,14,-0.87629998,-0.19989000,1,0.89880598
1974,9,15,-0.80839998,-0.26515001,1,0.85077298
1974,9,16,-0.78055000,-0.43065000,1,0.89147198
1974,9,17,-1.0610200,-0.49926001,1,1.1726201
1974,9,18,-1.1999000,-0.34349999,1,1.2481000
1974,9,19,-1.1262900,-0.41894001,1,1.2016799
1974,9,20,-0.84605998,-0.40851000,1,0.93952203
1974,9,21,-0.81788999,-0.54575998,1,0.98325902
1974,9,22,-0.67409998,-0.63260001,1,0.92444402
1974,9,23,-0.62136000,-0.52231997,1,0.81173003
1974,9,24,-0.38978001,-0.43151999,2,0.58149600
1974,9,25,-0.38810000,-0.36067000,1,0.52981597
1974,9,26,-0.29288000,-0.23269001,1,0.37406200
1974,9,27,-6.46556020E-02,-0.21548000,2,0.22497000
1974,9,28,8.21096972E-02,-0.39265001,3,0.40114099
1974,9,29,0.35314399,-0.72869998,3,0.80975801
1974,9,30,0.55558002,-0.88555002,3,1.0454000
1974,10,1,0.57893199,-0.90973997,3,1.0783300
1974,10,2,0.75894701,-0.95043999,3,1.2162800
1974,10,3,0.89664900,-0.58042002,4,1.0681200
1974,10,4,0.67357600,-0.38633001,4,0.77650100
1974,10,5,0.63213599,-0.10522000,4,0.64083397
1974,10,6,0.51666898,0.18419300,5,0.54852003
1974,10,7,0.83917898,0.45932499,5,0.95666200
1974,10,8,1.0339299,0.36872000,5,1.0977100
1974,10,9,1.2691700,0.21624900,5,1.2874600
1974,10,10,1.5138400,0.19686399,5,1.5265900
1974,10,11,1.6412899,5.41350991E-02,5,1.6421800
1974,10,12,1.5847600,-8.36490989E-02,4,1.5869700
1974,10,13,1.4619499,-0.20847000,4,1.4767400
1974,10,14,1.2491400,-0.19396999,4,1.2641100
1974,10,15,1.0391800,-0.21719000,4,1.0616300
1974,10,16,1.0657600,-5.04916012E-02,4,1.0669500
1974,10,17,1.1782200,0.17427400,5,1.1910400
1974,10,18,1.2034600,0.39246100,5,1.2658300
1974,10,19,1.2457200,0.53586900,5,1.3560801
1974,10,20,1.2829800,0.63932902,5,1.4334500
1974,10,21,1.2840000,0.73060203,5,1.4773099
1974,10,22,1.1614200,0.79028100,5,1.4047900
1974,10,23,0.90081602,0.65329099,5,1.1127700
1974,10,24,0.46230400,0.51892698,6,0.69498903
1974,10,25,8.07724968E-02,0.56284499,6,0.56861198
1974,10,26,-0.12880000,0.31277800,7,0.33825999
1974,10,27,-0.17058000,-0.13217001,1,0.21579300
1974,10,28,-6.45567030E-02,-0.41755000,2,0.42251199
1974,10,29,1.50870997E-02,-0.23621000,3,0.23669299
1974,10,30,0.23195000,-5.58588989E-02,4,0.23858100
1974,10,31,0.50510299,2.59395000E-02,5,0.50576901
1974,11,1,0.52768499,0.17588100,5,0.55622399
1974,11,2,0.32781199,0.43578401,6,0.54531503
1974,11,3,0.29864299,0.70565403,6,0.76624799
1974,11,4,0.45745999,0.55004698,6,0.71541703
1974,11,5,0.45928001,0.49216101,6,0.67317098
1974,11,6,0.45422301,0.44554001,5,0.63625801
1974,11,7,0.66380101,0.57642299,5,0.87914503
1974,11,8,0.39278501,0.44639799,6,0.59460199
1974,11,9,0.24651800,0.71622503,6,0.75746202
1974,11,10,-0.14855000,0.80252701,7,0.81616002
1974,11,11,-0.67469001,0.78139400,7,1.0323700
1974,11,12,-0.86119998,0.73770899,8,1.1339600
1974,11,13,-0.77442998,0.75320601,8,1.0803000
1974,11,14,-0.57187998,0.67392802,7,0.88387102
1974,11,15,-0.48440999,0.35138100,8,0.59842998
1974,11,16,-0.49529999,0.28007999,8,0.56900799
1974,11,17,-0.47929001,0.56144702,7,0.73820400
1974,11,18,-0.39283001,0.78481299,7,0.87763798
1974,11,19,-0.39276999,0.84857100,7,0.93506002
1974,11,20,-0.32886001,0.89569402,7,0.95415699
1974,11,21,-0.17398000,0.75478500,7,0.77457702
1974,11,22,0.31282300,0.64342803,6,0.71544302
1974,11,23,0.86278498,0.61813802,5,1.0613600
1974,11,24,0.85349798,0.40556401,5,0.94495499
1974,11,25,0.97087502,0.38489500,5,1.0443900
1974,11,26,0.81264198,0.67188501,5,1.0544300
1974,11,27,0.70419902,0.84164298,6,1.0973901
1974,11,28,0.43421799,0.96935701,6,1.0621700
1974,11,29,2.03644000E-02,1.0358500,6,1.0360500
1974,11,30,-0.30756000,1.1393200,7,1.1801100
1974,12,1,-0.72601998,0.96864402,7,1.2105300
1974,12,2,-0.85040998,0.89089000,7,1.2316200
1974,12,3,-0.95915997,0.70959902,8,1.1931200
1974,12,4,-0.88388002,0.20269200,8,0.90682203
1974,12,5,-0.67119002,-0.33344001,1,0.74945199
1974,12,6,-0.40798000,-0.63299000,2,0.75307298
1974,12,7,-9.81672034E-02,-0.47084001,2,0.48096901
1974,12,8,-0.19568001,-0.18716000,1,0.27077401
1974,12,9,-4.76704016E-02,-3.49882990E-02,1,5.91324009E-02
1974,12,10,9.09525007E-02,-1.15460996E-02,4,9.16823968E-02
1974,12,11,0.28041801,0.19360299,5,0.34075901
1974,12,12,-8.61757025E-02,0.41711101,7,0.42592001
1974,12,13,-0.24369000,0.46977001,7,0.52921301
1974,12,14,-0.28283000,0.20458700,8,0.34906900
